topic_id,isRelevant,precision@5,average_precision
401,2.0,0.4,1.0
402,4.0,0.8,1.0
403,4.0,0.8,0.8875
404,4.0,0.8,0.8041666666666667
405,4.0,0.8,1.0
406,4.0,0.8,0.6791666666666667
407,5.0,1.0,1.0
408,4.0,0.8,0.8041666666666667
409,3.0,0.6,0.5333333333333333
410,5.0,1.0,1.0
411,5.0,1.0,1.0
412,5.0,1.0,1.0
413,2.0,0.4,0.5833333333333333
414,2.0,0.4,0.41666666666666663
415,5.0,1.0,1.0
416,5.0,1.0,1.0
417,5.0,1.0,1.0
418,4.0,0.8,0.95
419,3.0,0.6,0.6388888888888888
420,4.0,0.8,1.0
421,3.0,0.6,0.8666666666666667
422,5.0,1.0,1.0
423,4.0,0.8,1.0
424,5.0,1.0,1.0
425,5.0,1.0,1.0
426,5.0,1.0,1.0
427,5.0,1.0,1.0
428,5.0,1.0,1.0
429,5.0,1.0,1.0
430,4.0,0.8,0.95
431,5.0,1.0,1.0
432,0.0,0.0,0.0
433,1.0,0.2,0.5
434,5.0,1.0,1.0
435,3.0,0.6,0.7555555555555555
436,5.0,1.0,1.0
437,3.0,0.6,0.9166666666666666
438,3.0,0.6,0.7000000000000001
439,3.0,0.6,0.8055555555555555
440,3.0,0.6,0.8055555555555555
441,3.0,0.6,0.6388888888888888
442,4.0,0.8,0.6791666666666667
443,1.0,0.2,0.2
444,5.0,1.0,1.0
445,5.0,1.0,1.0
446,3.0,0.6,0.8666666666666667
447,4.0,0.8,1.0
448,1.0,0.2,0.5
449,3.0,0.6,0.4777777777777777
450,5.0,1.0,1.0
Mean Average Precision,,,0.8391944444444444
