topic_id,isRelevant,precision@5,average_precision
401,0.0,0.0,0.0
402,2.0,0.4,0.5
403,3.0,0.6,0.8055555555555555
404,1.0,0.2,0.2
405,2.0,0.4,0.5833333333333333
406,2.0,0.4,0.8333333333333333
407,1.0,0.2,0.5
408,1.0,0.2,0.2
409,2.0,0.4,0.8333333333333333
410,3.0,0.6,0.5888888888888889
411,1.0,0.2,0.2
412,0.0,0.0,0.0
413,3.0,0.6,0.7000000000000001
414,0.0,0.0,0.0
415,3.0,0.6,1.0
416,1.0,0.2,0.2
417,0.0,0.0,0.0
418,3.0,0.6,0.6388888888888888
419,1.0,0.2,0.3333333333333333
420,1.0,0.2,0.5
421,0.0,0.0,0.0
422,0.0,0.0,0.0
423,1.0,0.2,1.0
424,0.0,0.0,0.0
425,4.0,0.8,0.6791666666666667
426,1.0,0.2,0.5
427,1.0,0.2,0.3333333333333333
428,0.0,0.0,0.0
429,2.0,0.4,1.0
430,2.0,0.4,0.325
431,4.0,0.8,0.8041666666666667
432,0.0,0.0,0.0
433,0.0,0.0,0.0
434,0.0,0.0,0.0
435,1.0,0.2,0.25
436,0.0,0.0,0.0
437,1.0,0.2,0.25
438,0.0,0.0,0.0
439,5.0,1.0,1.0
440,0.0,0.0,0.0
441,3.0,0.6,0.8055555555555555
442,0.0,0.0,0.0
443,0.0,0.0,0.0
444,1.0,0.2,0.5
445,0.0,0.0,0.0
446,0.0,0.0,0.0
447,0.0,0.0,0.0
448,0.0,0.0,0.0
449,0.0,0.0,0.0
450,2.0,0.4,0.7
Mean Average Precision,,,0.3352777777777778
