topic_id,isRelevant,precision@5,average_precision
401,1.0,0.2,0.2
402,4.0,0.8,1.0
403,5.0,1.0,1.0
404,3.0,0.6,0.7555555555555555
405,4.0,0.8,1.0
406,2.0,0.4,0.8333333333333333
407,5.0,1.0,1.0
408,3.0,0.6,0.9166666666666666
409,2.0,0.4,0.7
410,5.0,1.0,1.0
411,2.0,0.4,0.5833333333333333
412,0.0,0.0,0.0
413,5.0,1.0,1.0
414,2.0,0.4,0.8333333333333333
415,5.0,1.0,1.0
416,0.0,0.0,0.0
417,0.0,0.0,0.0
418,4.0,0.8,1.0
419,1.0,0.2,1.0
420,5.0,1.0,1.0
421,0.0,0.0,0.0
422,4.0,0.8,1.0
423,4.0,0.8,0.8875
424,4.0,0.8,0.95
425,5.0,1.0,1.0
426,4.0,0.8,0.95
427,4.0,0.8,1.0
428,2.0,0.4,0.5833333333333333
429,0.0,0.0,0.0
430,3.0,0.6,0.8666666666666667
431,5.0,1.0,1.0
432,0.0,0.0,0.0
433,1.0,0.2,0.5
434,2.0,0.4,0.5
435,2.0,0.4,0.75
436,3.0,0.6,0.9166666666666666
437,0.0,0.0,0.0
438,0.0,0.0,0.0
439,1.0,0.2,0.5
440,4.0,0.8,0.8875
441,4.0,0.8,1.0
442,3.0,0.6,0.6388888888888888
443,1.0,0.2,1.0
444,5.0,1.0,1.0
445,5.0,1.0,1.0
446,2.0,0.4,0.8333333333333333
447,2.0,0.4,0.5
448,2.0,0.4,0.45
449,3.0,0.6,0.6388888888888888
450,4.0,0.8,1.0
Mean Average Precision,,,0.7034999999999999
