topic_id,isRelevant,precision@5,average_precision
401,0.0,0.0,0.0
402,4.0,0.8,0.8041666666666667
403,5.0,1.0,1.0
404,2.0,0.4,0.3666666666666667
405,1.0,0.2,0.2
406,2.0,0.4,1.0
407,5.0,1.0,1.0
408,1.0,0.2,1.0
409,3.0,0.6,1.0
410,5.0,1.0,1.0
411,5.0,1.0,1.0
412,2.0,0.4,0.3666666666666667
413,5.0,1.0,1.0
414,2.0,0.4,0.8333333333333333
415,5.0,1.0,1.0
416,3.0,0.6,1.0
417,4.0,0.8,0.6791666666666667
418,5.0,1.0,1.0
419,1.0,0.2,1.0
420,5.0,1.0,1.0
421,0.0,0.0,0.0
422,5.0,1.0,1.0
423,4.0,0.8,1.0
424,3.0,0.6,1.0
425,5.0,1.0,1.0
426,4.0,0.8,0.8875
427,3.0,0.6,0.7555555555555555
428,5.0,1.0,1.0
429,2.0,0.4,0.5
430,3.0,0.6,0.8055555555555555
431,3.0,0.6,0.9166666666666666
432,0.0,0.0,0.0
433,1.0,0.2,0.3333333333333333
434,3.0,0.6,0.8666666666666667
435,2.0,0.4,0.41666666666666663
436,3.0,0.6,0.7000000000000001
437,0.0,0.0,0.0
438,2.0,0.4,0.7
439,0.0,0.0,0.0
440,4.0,0.8,0.95
441,5.0,1.0,1.0
442,0.0,0.0,0.0
443,3.0,0.6,0.7555555555555555
444,5.0,1.0,1.0
445,2.0,0.4,0.41666666666666663
446,2.0,0.4,0.3666666666666667
447,4.0,0.8,1.0
448,2.0,0.4,0.45
449,2.0,0.4,1.0
450,4.0,0.8,0.6791666666666667
Mean Average Precision,,,0.715
