topic_id,isRelevant,precision@5,average_precision
401,3.0,0.6,0.5333333333333333
402,5.0,1.0,1.0
403,4.0,0.8,0.8875
404,3.0,0.6,0.9166666666666666
405,1.0,0.2,0.5
406,3.0,0.6,1.0
407,3.0,0.6,0.8666666666666667
408,4.0,0.8,0.95
409,1.0,0.2,1.0
410,5.0,1.0,1.0
411,3.0,0.6,1.0
412,4.0,0.8,1.0
413,1.0,0.2,0.5
414,4.0,0.8,0.6791666666666667
415,5.0,1.0,1.0
416,1.0,0.2,0.3333333333333333
417,4.0,0.8,0.8875
418,4.0,0.8,0.95
419,1.0,0.2,1.0
420,5.0,1.0,1.0
421,0.0,0.0,0.0
422,2.0,0.4,1.0
423,5.0,1.0,1.0
424,2.0,0.4,0.41666666666666663
425,5.0,1.0,1.0
426,1.0,0.2,0.25
427,5.0,1.0,1.0
428,2.0,0.4,0.75
429,1.0,0.2,0.25
430,3.0,0.6,1.0
431,5.0,1.0,1.0
432,0.0,0.0,0.0
433,2.0,0.4,0.7
434,5.0,1.0,1.0
435,2.0,0.4,1.0
436,3.0,0.6,0.6388888888888888
437,1.0,0.2,0.3333333333333333
438,5.0,1.0,1.0
439,1.0,0.2,0.25
440,1.0,0.2,0.3333333333333333
441,5.0,1.0,1.0
442,1.0,0.2,1.0
443,2.0,0.4,0.5
444,5.0,1.0,1.0
445,5.0,1.0,1.0
446,2.0,0.4,0.8333333333333333
447,3.0,0.6,0.4777777777777777
448,1.0,0.2,0.5
449,0.0,0.0,0.0
450,4.0,0.8,0.6791666666666667
Mean Average Precision,,,0.7383333333333333
