topic_id,isRelevant,precision@5,average_precision
401,5.0,1.0,1.0
402,5.0,1.0,1.0
403,5.0,1.0,1.0
404,3.0,0.6,0.9166666666666666
405,4.0,0.8,0.8875
406,2.0,0.4,0.7
407,5.0,1.0,1.0
408,1.0,0.2,1.0
409,3.0,0.6,0.9166666666666666
410,5.0,1.0,1.0
411,2.0,0.4,1.0
412,4.0,0.8,0.95
413,4.0,0.8,0.95
414,2.0,0.4,0.8333333333333333
415,5.0,1.0,1.0
416,1.0,0.2,1.0
417,0.0,0.0,0.0
418,5.0,1.0,1.0
419,1.0,0.2,1.0
420,4.0,0.8,0.8875
421,0.0,0.0,0.0
422,5.0,1.0,1.0
423,4.0,0.8,1.0
424,3.0,0.6,0.7555555555555555
425,4.0,0.8,0.8041666666666667
426,0.0,0.0,0.0
427,3.0,0.6,0.7000000000000001
428,3.0,0.6,0.7555555555555555
429,1.0,0.2,0.25
430,3.0,0.6,0.8666666666666667
431,5.0,1.0,1.0
432,0.0,0.0,0.0
433,0.0,0.0,0.0
434,4.0,0.8,1.0
435,3.0,0.6,1.0
436,2.0,0.4,0.325
437,0.0,0.0,0.0
438,1.0,0.2,0.25
439,0.0,0.0,0.0
440,5.0,1.0,1.0
441,4.0,0.8,1.0
442,2.0,0.4,0.5833333333333333
443,0.0,0.0,0.0
444,5.0,1.0,1.0
445,4.0,0.8,0.8041666666666667
446,5.0,1.0,1.0
447,4.0,0.8,0.95
448,0.0,0.0,0.0
449,3.0,0.6,1.0
450,5.0,1.0,1.0
Mean Average Precision,,,0.7217222222222222
