topic_id,isRelevant,precision@5,average_precision
401,2.0,0.4,0.8333333333333333
402,4.0,0.8,1.0
403,4.0,0.8,0.8041666666666667
404,1.0,0.2,0.5
405,1.0,0.2,0.3333333333333333
406,2.0,0.4,0.325
407,3.0,0.6,0.8055555555555555
408,0.0,0.0,0.0
409,2.0,0.4,0.3666666666666667
410,5.0,1.0,1.0
411,4.0,0.8,0.8041666666666667
412,4.0,0.8,0.95
413,3.0,0.6,1.0
414,2.0,0.4,0.3666666666666667
415,3.0,0.6,0.8666666666666667
416,3.0,0.6,0.8055555555555555
417,4.0,0.8,0.8875
418,4.0,0.8,1.0
419,3.0,0.6,0.9166666666666666
420,3.0,0.6,0.5888888888888889
421,1.0,0.2,0.5
422,1.0,0.2,0.5
423,5.0,1.0,1.0
424,2.0,0.4,1.0
425,5.0,1.0,1.0
426,2.0,0.4,0.325
427,4.0,0.8,0.8041666666666667
428,1.0,0.2,1.0
429,2.0,0.4,0.8333333333333333
430,3.0,0.6,0.8055555555555555
431,0.0,0.0,0.0
432,0.0,0.0,0.0
433,1.0,0.2,0.3333333333333333
434,5.0,1.0,1.0
435,1.0,0.2,0.5
436,3.0,0.6,1.0
437,0.0,0.0,0.0
438,2.0,0.4,1.0
439,0.0,0.0,0.0
440,3.0,0.6,0.7555555555555555
441,4.0,0.8,0.8041666666666667
442,1.0,0.2,0.3333333333333333
443,1.0,0.2,0.2
444,5.0,1.0,1.0
445,2.0,0.4,0.7
446,0.0,0.0,0.0
447,3.0,0.6,1.0
448,1.0,0.2,1.0
449,1.0,0.2,1.0
450,5.0,1.0,1.0
Mean Average Precision,,,0.6709722222222223
