topic_id,isRelevant,precision@5,average_precision
401,0.0,0.0,0.0
402,2.0,0.4,1.0
403,5.0,1.0,1.0
404,0.0,0.0,0.0
405,0.0,0.0,0.0
406,3.0,0.6,0.5888888888888889
407,4.0,0.8,0.95
408,3.0,0.6,0.8055555555555555
409,1.0,0.2,0.5
410,5.0,1.0,1.0
411,2.0,0.4,0.5
412,0.0,0.0,0.0
413,4.0,0.8,0.95
414,3.0,0.6,0.8666666666666667
415,4.0,0.8,0.8875
416,0.0,0.0,0.0
417,1.0,0.2,1.0
418,5.0,1.0,1.0
419,1.0,0.2,0.25
420,5.0,1.0,1.0
421,0.0,0.0,0.0
422,1.0,0.2,0.2
423,5.0,1.0,1.0
424,0.0,0.0,0.0
425,5.0,1.0,1.0
426,0.0,0.0,0.0
427,1.0,0.2,0.25
428,1.0,0.2,0.3333333333333333
429,1.0,0.2,0.25
430,3.0,0.6,1.0
431,4.0,0.8,1.0
432,0.0,0.0,0.0
433,0.0,0.0,0.0
434,4.0,0.8,0.95
435,2.0,0.4,0.8333333333333333
436,0.0,0.0,0.0
437,0.0,0.0,0.0
438,4.0,0.8,1.0
439,1.0,0.2,0.2
440,1.0,0.2,0.25
441,5.0,1.0,1.0
442,2.0,0.4,0.75
443,1.0,0.2,0.3333333333333333
444,5.0,1.0,1.0
445,5.0,1.0,1.0
446,2.0,0.4,0.41666666666666663
447,5.0,1.0,1.0
448,1.0,0.2,0.3333333333333333
449,2.0,0.4,0.8333333333333333
450,5.0,1.0,1.0
Mean Average Precision,,,0.5646388888888888
