topic_id,isRelevant,precision@5,average_precision
401,0.0,0.0,0.0
402,5.0,1.0,1.0
403,5.0,1.0,1.0
404,2.0,0.4,0.7
405,3.0,0.6,0.6388888888888888
406,3.0,0.6,1.0
407,5.0,1.0,1.0
408,1.0,0.2,0.5
409,2.0,0.4,0.41666666666666663
410,5.0,1.0,1.0
411,5.0,1.0,1.0
412,4.0,0.8,0.8041666666666667
413,4.0,0.8,0.8875
414,3.0,0.6,0.8666666666666667
415,5.0,1.0,1.0
416,2.0,0.4,0.5833333333333333
417,3.0,0.6,0.9166666666666666
418,5.0,1.0,1.0
419,1.0,0.2,1.0
420,5.0,1.0,1.0
421,0.0,0.0,0.0
422,5.0,1.0,1.0
423,3.0,0.6,0.6388888888888888
424,3.0,0.6,0.8666666666666667
425,4.0,0.8,0.8875
426,4.0,0.8,0.8875
427,4.0,0.8,0.6791666666666667
428,0.0,0.0,0.0
429,0.0,0.0,0.0
430,3.0,0.6,1.0
431,5.0,1.0,1.0
432,0.0,0.0,0.0
433,0.0,0.0,0.0
434,5.0,1.0,1.0
435,2.0,0.4,1.0
436,5.0,1.0,1.0
437,0.0,0.0,0.0
438,2.0,0.4,0.325
439,2.0,0.4,1.0
440,4.0,0.8,0.95
441,4.0,0.8,1.0
442,1.0,0.2,0.5
443,0.0,0.0,0.0
444,5.0,1.0,1.0
445,5.0,1.0,1.0
446,3.0,0.6,0.8666666666666667
447,5.0,1.0,1.0
448,1.0,0.2,0.5
449,2.0,0.4,0.325
450,4.0,0.8,0.6791666666666667
Mean Average Precision,,,0.7083888888888888
